a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_min_count,shared_families
sheo,chl,46,33,33,28,0.027607881518711637,1,1
or,sheo,390,46,406,33,0.0265737471896543,9,9
chcthy,sar,84,77,94,48,0.026064301757134346,5,5
r,ody,196,38,176,24,0.01987635611065755,3,3
shcthy,qol,30,147,33,132,0.01918735586115179,2,2
kchy,sar,36,77,36,48,0.01828792389898638,1,1
cthey,sar,47,77,50,48,0.017622684421256033,1,1
kar,shcthy,58,30,47,33,0.01730580438837217,1,1
ckhey,tar,32,43,32,35,0.01702513061517497,1,1
d,kal,53,30,32,27,0.016000512024577314,1,1
ckhy,ches,38,44,27,43,0.014441280189584198,1,1
d,chcthy,53,84,32,94,0.014085904245475277,2,2
ckhey,lor,32,38,32,39,0.013545709229571927,1,1
r,sheo,196,46,176,33,0.01314055908683541,4,4
r,shcthy,196,30,176,33,0.011557604715036762,2,2
sar,shcthy,77,30,48,33,0.009057287368239884,1,1
d,sheo,53,46,32,33,0.0,0,0
d,ody,53,38,32,24,0.0,0,0
ckhy,lor,38,38,27,39,0.0,0,0
sheo,sar,46,77,33,48,0.0,0,0
